#{"t_start": 1749412694.7345297, "env_id": "foraging_envs/foraging-three"}
r,l,t
3.520812,1000,0.753726
3.520812,1000,0.927085
3.520812,1000,1.098897
3.520812,1000,1.287615
3.520812,1000,1.460836
3.520812,1000,2.412638
3.520812,1000,2.609737
3.520812,1000,2.795589
3.520812,1000,2.976099
3.520812,1000,3.186134
3.520812,1000,4.187618
3.520812,1000,4.422207
3.520812,1000,4.606507
3.520812,1000,4.787395
3.520812,1000,4.990929
3.520812,1000,5.919475
3.520812,1000,6.106205
3.520812,1000,6.31769
3.520812,1000,6.501297
3.520812,1000,6.683496
3.520812,1000,7.52458
3.520812,1000,7.695576
3.520812,1000,7.879793
3.520812,1000,8.075446
3.520812,1000,8.254451
3.520812,1000,9.08043
3.520812,1000,9.255474
3.520812,1000,9.442956
3.520812,1000,9.611703
3.520812,1000,9.793213
3.520812,1000,10.760399
3.520812,1000,10.939044
3.520812,1000,11.121329
3.520812,1000,11.294874
3.520812,1000,11.490821
3.520812,1000,12.346243
3.520812,1000,12.532979
3.520812,1000,12.707975
3.520812,1000,12.932886
3.520812,1000,13.147439
3.520812,1000,14.004541
3.520812,1000,14.186245
3.520812,1000,14.359972
3.520812,1000,14.541766
3.520812,1000,14.746685
3.520812,1000,15.715783
3.520812,1000,15.903847
3.520812,1000,16.070295
3.520812,1000,16.237884
3.520812,1000,16.426209
3.520812,1000,17.301782
3.520812,1000,17.487704
3.520812,1000,17.678403
3.520812,1000,17.839172
3.520812,1000,18.018137
3.520812,1000,18.982155
3.520812,1000,19.254834
3.520812,1000,19.452363
3.520812,1000,19.633314
3.520812,1000,19.805444
3.520812,1000,20.77456
3.520812,1000,20.985659
3.520812,1000,21.16897
3.520812,1000,21.333967
3.520812,1000,21.527007
3.520812,1000,22.583837
3.520812,1000,22.77308
3.520812,1000,22.975512
3.520812,1000,23.168053
3.520812,1000,23.355479
3.520812,1000,24.350729
3.520812,1000,24.54258
3.520812,1000,24.716968
3.520812,1000,24.901413
3.520812,1000,25.086202
3.520812,1000,26.166503
3.520812,1000,26.358107
3.520812,1000,26.564955
3.520812,1000,26.768566
3.520812,1000,26.935127
3.520812,1000,27.732183
3.520812,1000,27.893113
3.520812,1000,28.076379
3.520812,1000,28.261183
3.520812,1000,28.45099
3.520812,1000,29.451766
3.520812,1000,29.623516
3.520812,1000,29.815594
3.520812,1000,30.02359
3.520812,1000,30.20516
3.520812,1000,31.235819
3.520812,1000,31.433399
3.520812,1000,31.632374
3.520812,1000,31.808
3.520812,1000,31.99532
3.520812,1000,32.872689
3.520812,1000,33.041306
3.520812,1000,33.235054
3.520812,1000,33.42028
3.520812,1000,33.623332
