#{"t_start": 1749416049.003862, "env_id": "foraging_envs/foraging-three"}
r,l,t
481.871591,5000,0.875107
424.029825,5000,1.795849
469.472222,5000,2.669975
427.687917,5000,3.527963
429.381732,5000,4.397361
370.354782,5000,5.251496
463.560277,5000,6.120608
392.033447,5000,6.958724
412.275434,5000,7.812403
436.170405,5000,8.675646
440.313976,5000,9.542816
487.464357,5000,10.504589
375.77997,5000,11.393651
383.338695,5000,12.228341
402.953125,5000,13.10139
442.074272,5000,13.965075
441.818683,5000,14.812114
419.436533,5000,15.664122
463.186628,5000,16.530807
414.772215,5000,17.397771
1261.983815,5000,18.883968
1256.857837,5000,19.812245
1259.261737,5000,20.737991
1264.806185,5000,21.664877
1273.958703,5000,22.848886
1274.611808,5000,24.010351
1265.29331,5000,25.053309
1258.886752,5000,26.006713
1265.196311,5000,26.827189
1269.590606,5000,27.640786
1374.04344,5000,28.816785
1378.497754,5000,29.672146
1372.663361,5000,30.696307
1369.918741,5000,31.687526
1363.601857,5000,32.711565
1370.762904,5000,33.638244
1371.651622,5000,34.607196
1375.671382,5000,35.466187
1373.050043,5000,36.344392
1367.907397,5000,37.248583
