#{"t_start": 1749414665.4811, "env_id": "foraging_envs/foraging-three"}
r,l,t
896.384955,5000,0.368751
887.159,5000,0.749668
917.112951,5000,1.11284
912.781604,5000,1.453849
903.601704,5000,1.832527
884.406639,5000,2.198045
891.600485,5000,2.604642
918.71533,5000,2.938662
916.166366,5000,3.29838
917.029894,5000,3.661409
1014.411239,5000,4.214358
985.117355,5000,4.734455
992.292721,5000,5.340728
951.414717,5000,5.897408
1023.477934,5000,6.397356
978.736509,5000,6.900149
970.657964,5000,7.39258
975.948032,5000,7.986904
977.685068,5000,8.504584
969.641227,5000,9.028301
1261.604872,5000,10.16991
1300.808531,5000,10.895238
1295.738262,5000,11.559495
1284.970973,5000,12.215806
1281.865394,5000,13.030612
1281.578238,5000,13.715948
1308.729134,5000,14.438971
1302.22002,5000,15.1456
1280.170391,5000,15.954796
1303.494808,5000,16.64104
1257.490762,5000,17.884511
1270.534075,5000,18.722711
1273.262754,5000,19.603249
1269.565881,5000,20.545224
1257.221614,5000,21.423276
1259.135703,5000,22.287033
1278.86339,5000,23.219978
1269.601082,5000,24.104103
1261.101428,5000,24.996853
1280.221645,5000,25.831914
1262.267139,5000,27.020719
1263.881064,5000,27.854937
1278.304581,5000,28.690033
1272.782148,5000,29.509265
1275.504476,5000,30.317669
1267.609669,5000,31.089912
1264.190503,5000,31.902768
1267.393599,5000,32.685409
1262.327542,5000,33.458449
1278.421675,5000,34.245037
1173.708567,5000,35.46366
1179.636632,5000,36.305187
1180.955544,5000,37.159067
1179.418982,5000,37.980595
1166.438788,5000,38.798785
1183.827742,5000,39.643542
1173.536137,5000,40.591602
1170.52513,5000,41.470661
1177.466776,5000,42.323399
1183.911603,5000,43.212373
439.814726,5000,44.476345
535.276242,5000,45.301257
538.156833,5000,46.162686
486.056934,5000,47.001557
496.801971,5000,47.842895
498.931131,5000,48.742121
460.210361,5000,49.575099
509.406136,5000,50.501733
472.090299,5000,51.448924
422.99141,5000,52.44301
437.977173,5000,53.674531
538.31837,5000,54.523502
488.182953,5000,55.389703
410.941093,5000,56.292288
495.712422,5000,57.259439
479.102729,5000,58.214971
578.755763,5000,59.0744
523.321451,5000,59.958685
433.72022,5000,60.89442
460.316892,5000,61.834852
465.818461,5000,63.075277
444.622662,5000,63.992994
491.725053,5000,64.836279
415.973735,5000,65.740953
433.044837,5000,66.580971
486.96984,5000,67.423471
466.061967,5000,68.252741
422.492039,5000,69.083454
474.694921,5000,69.918062
469.32145,5000,70.759678
446.753098,5000,71.976025
404.464305,5000,72.898068
430.585998,5000,74.065375
457.080472,5000,75.05259
435.911304,5000,75.971853
523.812444,5000,76.935116
485.593248,5000,77.831112
473.249521,5000,78.736871
519.955321,5000,79.632563
406.960037,5000,80.598173
389.70121,5000,81.895116
540.535041,5000,82.714783
405.393976,5000,83.520405
502.825821,5000,84.318477
468.320788,5000,85.105516
490.350115,5000,85.909949
448.940737,5000,86.711821
505.09673,5000,87.534881
415.329999,5000,88.335597
503.785932,5000,89.256034
471.617791,5000,90.35918
479.543027,5000,91.180971
382.500853,5000,91.997365
469.620162,5000,92.800552
400.176069,5000,93.684504
526.399649,5000,94.493943
480.252315,5000,95.307939
441.512615,5000,96.273542
473.237236,5000,97.137138
507.73524,5000,98.088502
485.016137,5000,99.405491
465.853324,5000,100.229306
532.376101,5000,101.125477
525.280036,5000,102.044487
437.41703,5000,102.932836
428.798987,5000,103.725065
468.030504,5000,104.681913
430.20398,5000,105.662708
434.686475,5000,106.579434
462.36067,5000,107.550625
510.211243,5000,108.787895
476.182936,5000,109.621852
416.74766,5000,110.474707
511.043464,5000,111.448364
459.76849,5000,112.374187
416.418825,5000,113.279923
548.290076,5000,114.151272
460.784817,5000,115.24441
458.725145,5000,116.156048
464.207894,5000,117.04261
499.683894,5000,118.308315
418.406061,5000,119.160334
458.665392,5000,119.961667
472.03861,5000,120.799304
495.401754,5000,121.601548
454.872248,5000,122.581727
