#{"t_start": 1749061399.088067, "env_id": "foraging_envs/foraging-two"}
r,l,t
3.520812,1000,1.289144
3.520812,1000,1.565372
3.520812,1000,1.825925
3.520812,1000,2.061839
3.520812,1000,2.291189
3.520812,1000,3.784961
3.520812,1000,4.047912
3.520812,1000,4.315897
3.520812,1000,4.555426
3.520812,1000,4.820702
3.520812,1000,6.437499
3.520812,1000,6.711408
3.520812,1000,6.982106
3.520812,1000,7.236633
3.520812,1000,7.454655
3.520812,1000,9.054824
3.520812,1000,9.290102
3.520812,1000,9.540701
3.520812,1000,9.775729
3.520812,1000,10.02276
3.520812,1000,11.433524
3.520812,1000,11.681271
3.520812,1000,11.875979
3.520812,1000,12.07944
3.520812,1000,12.283177
3.520812,1000,13.717162
3.520812,1000,13.956805
3.520812,1000,14.212516
3.520812,1000,14.432361
3.520812,1000,14.675533
3.520812,1000,16.122665
3.520812,1000,16.35094
3.520812,1000,16.59701
3.520812,1000,16.852055
3.520812,1000,17.069426
3.520812,1000,18.53378
3.520812,1000,18.78059
3.520812,1000,19.023312
3.520812,1000,19.248577
3.520812,1000,19.487312
3.520812,1000,20.928128
3.520812,1000,21.131979
3.520812,1000,21.357696
3.520812,1000,21.579592
3.520812,1000,21.810016
3.520812,1000,23.145727
3.520812,1000,23.420079
3.520812,1000,23.650324
3.520812,1000,23.897742
3.520812,1000,24.151423
3.520812,1000,25.807376
3.520812,1000,26.073958
3.520812,1000,26.339828
3.520812,1000,26.604321
3.520812,1000,26.869009
3.520812,1000,28.778881
3.520812,1000,29.058783
3.520812,1000,29.277695
3.520812,1000,29.497618
3.520812,1000,29.758962
3.520812,1000,31.309767
3.520812,1000,31.555608
3.520812,1000,31.817636
3.520812,1000,32.061374
3.520812,1000,32.27534
3.520812,1000,33.791564
3.520812,1000,34.059998
3.520812,1000,34.312878
3.520812,1000,34.560694
3.520812,1000,34.792027
3.520812,1000,36.427476
3.520812,1000,36.676029
3.520812,1000,36.91273
3.520812,1000,37.130849
3.520812,1000,37.364752
3.520812,1000,38.900435
3.520812,1000,39.141361
3.520812,1000,39.409294
3.520812,1000,39.65795
3.520812,1000,39.889327
3.520812,1000,41.33044
3.520812,1000,41.596339
3.520812,1000,41.860244
3.520812,1000,42.090129
3.520812,1000,42.355642
3.520812,1000,44.076071
3.520812,1000,44.3474
3.520812,1000,44.610809
3.520812,1000,44.842738
3.520812,1000,45.097514
3.520812,1000,46.677189
3.520812,1000,46.935845
3.520812,1000,47.200968
3.520812,1000,47.429317
3.520812,1000,47.667427
3.520812,1000,49.303028
3.520812,1000,49.544013
3.520812,1000,49.8139
3.520812,1000,50.07959
3.520812,1000,50.33974
