#{"t_start": 1749411733.7146897, "env_id": "foraging_envs/foraging-two"}
r,l,t
3.520812,1000,0.868044
3.520812,1000,1.042103
3.520812,1000,1.219489
3.520812,1000,1.414469
3.520812,1000,1.599192
3.520812,1000,2.543971
3.520812,1000,2.72219
3.520812,1000,2.89509
3.520812,1000,3.065834
3.520812,1000,3.247822
3.520812,1000,4.205463
3.520812,1000,4.387514
3.520812,1000,4.576148
3.520812,1000,4.755915
3.520812,1000,4.941435
3.520812,1000,5.879089
3.520812,1000,6.046665
3.520812,1000,6.226177
3.520812,1000,6.4205
3.520812,1000,6.592168
3.520812,1000,7.542766
3.520812,1000,7.726367
3.520812,1000,7.896304
3.520812,1000,8.083095
3.520812,1000,8.257578
3.520812,1000,9.172917
3.520812,1000,9.333169
3.520812,1000,9.494139
3.520812,1000,9.661271
3.520812,1000,9.825062
3.520812,1000,10.672244
3.520812,1000,10.83527
3.520812,1000,11.001954
3.520812,1000,11.159278
3.520812,1000,11.326065
3.520812,1000,12.199169
3.520812,1000,12.36499
3.520812,1000,12.538604
3.520812,1000,12.717176
3.520812,1000,12.899926
3.520812,1000,13.870264
3.520812,1000,14.10183
3.520812,1000,14.286263
3.520812,1000,14.492794
3.520812,1000,14.659049
3.520812,1000,15.738552
3.520812,1000,15.928331
3.520812,1000,16.119102
3.520812,1000,16.302689
3.520812,1000,16.494792
3.520812,1000,17.432239
3.520812,1000,17.61007
3.520812,1000,17.789896
3.520812,1000,17.95993
3.520812,1000,18.158192
3.520812,1000,19.016826
3.520812,1000,19.183422
3.520812,1000,19.373016
3.520812,1000,19.561014
3.520812,1000,19.740325
3.520812,1000,20.559176
3.520812,1000,20.730268
3.520812,1000,20.908423
3.520812,1000,21.077867
3.520812,1000,21.255223
3.520812,1000,22.204406
3.520812,1000,22.395688
3.520812,1000,22.590025
3.520812,1000,22.77461
3.520812,1000,22.975987
3.520812,1000,23.843577
3.520812,1000,24.007984
3.520812,1000,24.175526
3.520812,1000,24.336259
3.520812,1000,24.510264
3.520812,1000,25.373131
3.520812,1000,25.54697
3.520812,1000,25.717883
3.520812,1000,25.883126
3.520812,1000,26.045038
3.520812,1000,26.920245
3.520812,1000,27.148685
3.520812,1000,27.356634
3.520812,1000,27.550621
3.520812,1000,27.704958
3.520812,1000,28.510892
3.520812,1000,28.706259
3.520812,1000,28.875311
3.520812,1000,29.028708
3.520812,1000,29.192773
3.520812,1000,30.025332
3.520812,1000,30.198852
3.520812,1000,30.361716
3.520812,1000,30.523053
3.520812,1000,30.678456
3.520812,1000,31.473859
3.520812,1000,31.639037
3.520812,1000,31.809077
3.520812,1000,32.016616
3.520812,1000,32.194753
